DEBUG 2020-12-04 09:28:33,824 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: SHUTTING_DOWN -> NOT_STARTED
INFO  2020-12-04 09:28:35,113 Logging.scala:54 - Changing view acls to: dse
INFO  2020-12-04 09:28:35,127 Logging.scala:54 - Changing modify acls to: dse
INFO  2020-12-04 09:28:35,139 Logging.scala:54 - Changing view acls groups to: 
INFO  2020-12-04 09:28:35,154 Logging.scala:54 - Changing modify acls groups to: 
INFO  2020-12-04 09:28:35,162 Logging.scala:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dse); groups with view permissions: Set(); users  with modify permissions: Set(dse); groups with modify permissions: Set()
INFO  2020-12-04 09:28:36,837 Logging.scala:54 - Successfully started service 'MasterUI' on port 7080.
INFO  2020-12-04 09:28:37,063 Logging.scala:54 - Bound MasterRedirectingUI to 0.0.0.0, and started at http://e33fdfff5111:7080
INFO  2020-12-04 09:28:37,076 Logging.scala:35 - Bound redirecting UI
DEBUG 2020-12-04 09:28:37,086 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:38,135 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:39,143 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:40,147 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:41,150 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:42,153 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:43,163 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-04 09:28:44,166 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
INFO  2020-12-04 09:28:45,212 Logging.scala:35 - Stopped redirecting UI
INFO  2020-12-04 09:28:45,217 Logging.scala:35 - Awaiting LOCAL_QUORUM for Spark Master recovery storage
DEBUG 2020-12-04 09:28:45,350 ServiceRunner.java:216 - Service SPARK-MASTER changing state: NOT_STARTED -> STARTING
DEBUG 2020-12-04 09:28:45,352 ServiceRunner.java:206 - Service SPARK-MASTER set state: NOT_STARTED -> STARTING
INFO  2020-12-04 09:28:45,354 Logging.scala:35 - Starting SPARK-MASTER service...
INFO  2020-12-04 09:28:45,406 Logging.scala:54 - Changing view acls to: dse
INFO  2020-12-04 09:28:45,409 Logging.scala:54 - Changing modify acls to: dse
INFO  2020-12-04 09:28:45,413 Logging.scala:54 - Changing view acls groups to: 
INFO  2020-12-04 09:28:45,416 Logging.scala:54 - Changing modify acls groups to: 
INFO  2020-12-04 09:28:45,418 Logging.scala:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dse); groups with view permissions: Set(); users  with modify permissions: Set(dse); groups with modify permissions: Set()
INFO  2020-12-04 09:28:45,900 Logging.scala:54 - Successfully started service 'sparkMaster' on port 7077.
DEBUG 2020-12-04 09:28:46,804 ServiceRunner.java:216 - Service SPARK-MASTER changing state: STARTING -> RUNNING
DEBUG 2020-12-04 09:28:46,807 ServiceRunner.java:206 - Service SPARK-MASTER set state: STARTING -> RUNNING
INFO  2020-12-04 09:28:46,811 Logging.scala:35 - SPARK-MASTER service is running
INFO  2020-12-04 09:55:01,376 Logging.scala:35 - SPARK-MASTER service finished
